,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
0,Jammu & Kashmir,JK,S09,0,2.0,,,,,,,,,,
1,Andhra Pradesh,AP,S01,1,1.0,Adilabad,Adilabad,687421.0,698717.0,1386282.0,518481.0,525482.0,1043965.0,2014.0,1.0
2,Andhra Pradesh,AP,S01,2,1.0,Peddapalle,Peddapalle,725765.0,699474.0,1425355.0,520741.0,500992.0,1021747.0,2014.0,1.0
3,Andhra Pradesh,AP,S01,3,1.0,Karimnagar,Karimnagar,777440.0,773291.0,1550810.0,550760.0,569382.0,1120142.0,2014.0,0.0
4,Andhra Pradesh,AP,S01,4,1.0,Nizamabad,Nizamabad,724523.0,771586.0,1496193.0,467172.0,559329.0,1026505.0,2014.0,1.0
5,Andhra Pradesh,AP,S01,5,1.0,Zahirabad,Zahirabad,717891.0,727389.0,1445354.0,546010.0,546798.0,1092808.0,2014.0,1.0
6,Andhra Pradesh,AP,S01,6,1.0,Medak,Medak,775560.0,760532.0,1536166.0,605044.0,583040.0,1188084.0,2014.0,0.0
7,Andhra Pradesh,AP,S01,7,1.0,Malkajgiri,Malkajgiri,1723261.0,1459417.0,3183083.0,877156.0,741285.0,1618441.0,2014.0,0.0
8,Andhra Pradesh,AP,S01,8,1.0,Secundrabad,Secunderabad,1012740.0,880779.0,1893741.0,546289.0,457397.0,1003689.0,2014.0,0.0
9,Andhra Pradesh,AP,S01,9,1.0,Hyderabad,Hyderabad,960480.0,862516.0,1823217.0,525811.0,445415.0,971226.0,2014.0,0.0
10,Andhra Pradesh,AP,S01,10,1.0,CHELVELLA,Chevella,1153061.0,1031897.0,2185164.0,695012.0,617108.0,1312120.0,2014.0,0.0
11,Andhra Pradesh,AP,S01,11,1.0,Mahbubnagar ,Mahbubnagar,713064.0,705447.0,1418668.0,509912.0,499391.0,1009304.0,2014.0,1.0
12,Andhra Pradesh,AP,S01,12,1.0,Nagarkurnool ,Nagarkurnool,745050.0,732104.0,1477305.0,569056.0,537781.0,1106865.0,2014.0,1.0
13,Andhra Pradesh,AP,S01,13,1.0,Nalgonda,Nalgonda,746042.0,748256.0,1494343.0,597237.0,583448.0,1180687.0,2014.0,1.0
14,Andhra Pradesh,AP,S01,14,1.0,Bhongir,Bhongir,756965.0,735217.0,1492240.0,620408.0,588076.0,1208493.0,2014.0,1.0
15,Andhra Pradesh,AP,S01,15,1.0,Warangal,Warangal,771760.0,765862.0,1537778.0,590443.0,580206.0,1170723.0,2014.0,0.0
16,Andhra Pradesh,AP,S01,16,1.0,Mahabubabad,Mahabubabad,688341.0,698868.0,1387288.0,560443.0,560406.0,1120853.0,2014.0,1.0
17,Andhra Pradesh,AP,S01,17,1.0,Khammam,Khammam,712310.0,727861.0,1440267.0,586887.0,592349.0,1179236.0,2014.0,1.0
18,Andhra Pradesh,AP,S01,18,1.0,Aruku,Araku,622101.0,650158.0,1272340.0,450038.0,456802.0,906864.0,2014.0,1.0
19,Andhra Pradesh,AP,S01,19,1.0,Srikakulam,Srikakulam,706347.0,707248.0,1413726.0,503114.0,543763.0,1046877.0,2014.0,1.0
20,Andhra Pradesh,AP,S01,20,1.0,Vizianagaram ,Vizianagaram,700639.0,702984.0,1403736.0,554616.0,564891.0,1119507.0,2014.0,1.0
21,Andhra Pradesh,AP,S01,21,1.0,Visakhapatnam,Visakhapatnam,874909.0,847941.0,1723011.0,583232.0,576946.0,1160178.0,2014.0,0.0
22,Andhra Pradesh,AP,S01,22,1.0,Anakapalli,Anakapalli,689109.0,712301.0,1401474.0,561825.0,582294.0,1144120.0,2014.0,1.0
23,Andhra Pradesh,AP,S01,23,1.0,Kakinada,Kakinada,709103.0,709050.0,1418290.0,555263.0,538635.0,1093933.0,2014.0,1.0
24,Andhra Pradesh,AP,S01,24,1.0,Amalapuram,Amlapuram,682606.0,675208.0,1357865.0,565013.0,548900.0,1113914.0,2014.0,1.0
25,Andhra Pradesh,AP,S01,25,1.0,Rajahmundry,Rajahmundry,707152.0,714021.0,1421276.0,575432.0,574132.0,1149575.0,2014.0,1.0
26,Andhra Pradesh,AP,S01,26,1.0,Narsapuram,Narsapuram,652598.0,672304.0,1325028.0,536507.0,546670.0,1083177.0,2014.0,1.0
27,Andhra Pradesh,AP,S01,27,1.0,Eluru,Eluru,706952.0,720738.0,1427764.0,600526.0,594189.0,1194720.0,2014.0,1.0
28,Andhra Pradesh,AP,S01,28,1.0,Machilipatnam,Machilipatnam,675783.0,693423.0,1369311.0,564406.0,569695.0,1134104.0,2014.0,1.0
29,Andhra Pradesh,AP,S01,29,1.0,Vijayawada,Vijayawada,781179.0,783169.0,1564513.0,599506.0,589998.0,1189514.0,2014.0,0.0
30,Andhra Pradesh,AP,S01,30,1.0,Guntur,Guntur,773037.0,798804.0,1572017.0,613894.0,623668.0,1237579.0,2014.0,0.0
31,Andhra Pradesh,AP,S01,31,1.0,Narasaraopet,Narasaraopet,748474.0,766262.0,1514861.0,635270.0,640887.0,1276157.0,2014.0,1.0
32,Andhra Pradesh,AP,S01,32,1.0,Bapatla,Bapatla,686494.0,706353.0,1392964.0,583921.0,594010.0,1177932.0,2014.0,1.0
33,Andhra Pradesh,AP,S01,33,1.0,Ongole,Ongole,736216.0,733891.0,1470212.0,597957.0,599889.0,1197855.0,2014.0,1.0
34,Andhra Pradesh,AP,S01,34,1.0,Nandyal,Nandyal,783126.0,793585.0,1576945.0,601303.0,599288.0,1200607.0,2014.0,0.0
35,Andhra Pradesh,AP,S01,35,1.0,Kurnool,Kurnool,738832.0,742805.0,1481791.0,543424.0,519253.0,1062680.0,2014.0,1.0
36,Andhra Pradesh,AP,S01,36,1.0,Anantapur,Anantapur,775506.0,761243.0,1536894.0,612936.0,592912.0,1205849.0,2014.0,0.0
37,Andhra Pradesh,AP,S01,37,1.0,Hindupur,Hindupur,734674.0,711755.0,1446496.0,598591.0,572192.0,1170783.0,2014.0,1.0
38,Andhra Pradesh,AP,S01,38,1.0,Kadapa,Kadapa,764947.0,785380.0,1550440.0,583320.0,606195.0,1189516.0,2014.0,0.0
39,Andhra Pradesh,AP,S01,39,1.0,Nellore,Nellore,796823.0,809115.0,1606127.0,589353.0,590606.0,1179968.0,2014.0,0.0
40,Andhra Pradesh,AP,S01,40,1.0,Tirupati,Tirupati,778507.0,795485.0,1574161.0,602087.0,605328.0,1207418.0,2014.0,0.0
41,Andhra Pradesh,AP,S01,41,1.0,Rajampet,Rajampet,735613.0,752029.0,1487791.0,570991.0,582836.0,1153835.0,2014.0,1.0
42,Andhra Pradesh,AP,S01,42,1.0,Chittoor,Chittoor,723865.0,727853.0,1451851.0,595000.0,597153.0,1192153.0,2014.0,1.0
43,Arunachal Pradesh,AR,S02,1,2.0,ARUNACHAL WEST,Arunachal West,219415.0,227225.0,446640.0,155623.0,170663.0,326286.0,2014.0,1.0
44,Arunachal Pradesh,AR,S02,2,2.0,ARUNACHAL EAST,Arunachal East,160151.0,152553.0,312704.0,126888.0,128574.0,255462.0,2014.0,1.0
45,Assam,AS,S03,1,1.0,Karimganj,Karimganj,615198.0,550799.0,1165997.0,481673.0,404641.0,886314.0,2014.0,1.0
46,Assam,AS,S03,2,1.0,Silchar,Silchar,554540.0,505558.0,1060175.0,428972.0,370918.0,799890.0,2014.0,1.0
47,Assam,AS,S03,3,1.0,Autonomous District,Autonomous District,359058.0,343172.0,702230.0,279451.0,263869.0,543320.0,2014.0,1.0
48,Assam,AS,S03,4,1.0,Dhubri,Dhubri,797235.0,752931.0,1550166.0,709038.0,660085.0,1369123.0,2014.0,0.0
49,Assam,AS,S03,5,1.0,Kokrajhar,Kokrajhar,776151.0,729307.0,1505472.0,636473.0,587031.0,1223504.0,2014.0,1.0
50,Assam,AS,S03,6,1.0,Barpeta,Barpeta,755566.0,674622.0,1430188.0,634466.0,571414.0,1205880.0,2014.0,1.0
51,Assam,AS,S03,7,1.0,Gauhati,Guwahati,988067.0,934203.0,1922270.0,784535.0,727081.0,1511616.0,2014.0,0.0
52,Assam,AS,S03,8,1.0,Mangaldoi,Mangaldoi,791539.0,724137.0,1515676.0,651247.0,581802.0,1233049.0,2014.0,1.0
53,Assam,AS,S03,9,1.0,Tezpur,Tezpur,654866.0,604702.0,1259568.0,505481.0,475043.0,980524.0,2014.0,1.0
54,Assam,AS,S03,10,1.0,Nowgong,Nagaon,792425.0,731446.0,1523881.0,639499.0,590545.0,1230044.0,2014.0,1.0
55,Assam,AS,S03,11,1.0,Kaliabor,Kaliabor,752695.0,704524.0,1457219.0,605354.0,561208.0,1166562.0,2014.0,1.0
56,Assam,AS,S03,12,1.0,Jorhat,Jorhat,611283.0,578203.0,1189486.0,483784.0,447088.0,930872.0,2014.0,1.0
57,Assam,AS,S03,13,1.0,Dibrugarh,Dibrugarh,579658.0,544647.0,1124305.0,462187.0,428637.0,890824.0,2014.0,1.0
58,Assam,AS,S03,14,1.0,Lakhimpur,Lakhimpur,735340.0,695740.0,1431080.0,572467.0,539555.0,1112022.0,2014.0,1.0
59,Bihar,BH,S04,1,1.0,Valmiki Nagar ,Valmiki Nagar,786312.0,670236.0,1456598.0,484433.0,415396.0,899838.0,2014.0,1.0
60,Bihar,BH,S04,2,1.0,Paschim Champaran,Pashchim Champaran,769411.0,643703.0,1413148.0,469048.0,385593.0,854641.0,2014.0,1.0
61,Bihar,BH,S04,3,1.0,Purvi Champaran,Purba Champaran,779657.0,659560.0,1439253.0,442071.0,380577.0,822648.0,2014.0,1.0
62,Bihar,BH,S04,4,1.0,Sheohar,Sheohar,792374.0,693355.0,1485801.0,433327.0,409336.0,842663.0,2014.0,1.0
63,Bihar,BH,S04,5,1.0,Sitamarhi,Sitamarhi,832370.0,742498.0,1574914.0,448849.0,451628.0,900477.0,2014.0,0.0
64,Bihar,BH,S04,6,1.0,Madhubani,Madhubani,878017.0,749809.0,1627832.0,413708.0,446640.0,860348.0,2014.0,0.0
